,Residual_Hydro_Water_Reservoir_AT,Residual_Hydro_Run-of-river_and_poundage_AT,Residual_Other_AT,Biomass_AT,Fossil_Brown_coal/Lignite_AT,Fossil_Coal-derived_gas_AT,Fossil_Gas_AT,Fossil_Hard_coal_AT,Fossil_Oil_AT,Fossil_Oil_shale_AT,Fossil_Peat_AT,Geothermal_AT,Hydro_Pumped_Storage_AT,Hydro_Run-of-river_and_poundage_AT,Hydro_Water_Reservoir_AT,Marine_AT,Nuclear_AT,Other_fossil_AT,Other_renewable_AT,Solar_AT,Waste_AT,Wind_Offshore_AT,Wind_Onshore_AT
2017-01-01 00:00:00,0.0,0.0,0.0,0.004849124031473866,0.0,0.0,0.1512688933498522,0.026234624165558443,0.0,0.0,0.0,7.906395377072116e-07,0.0,0.0010438359762703234,0.0005687059287564958,0.0,0.0,0.006978304379673957,0.0,0.0,0.0,0.0,0.00025061317244823327
2017-01-01 01:00:00,0.0,0.0,0.0,0.004964976879519939,0.0,0.0,0.14080728908335935,0.026945508286072322,0.0,0.0,0.0,8.095291024258462e-07,0.0,0.0010632225928734976,0.00031819185094033686,0.0,0.0,0.007145026540557082,0.0,0.0,0.0,0.0,0.00021477147361837536
2017-01-01 02:00:00,0.0,0.0,0.0,0.004655901280701458,0.0,0.0,0.1290641336136163,0.02518925709653073,0.0,0.0,0.0,7.591349720673884e-07,0.0,0.0009669822528262863,0.00020954381507509083,0.0,0.0,0.006700240308881791,0.0,0.0,0.0,0.0,0.00020507689381812997
2017-01-01 03:00:00,0.0,0.0,0.0,0.004749957065396198,0.0,0.0,0.1305516738657918,0.02569811322712911,0.0,0.0,0.0,7.744705711667451e-07,0.0,0.0009902820572402393,0.0001719531813460923,0.0,0.0,0.006835594630612655,0.0,0.0,0.0,0.0,0.00019672400719863582
2017-01-01 04:00:00,0.0,0.0,0.0,0.0047669233538851176,0.0,0.0,0.12823307520693789,0.025838351269350197,0.0,0.0,0.0,7.772368890419776e-07,0.0,0.0009565712849694773,0.00021118669617586165,0.0,0.0,0.006860010571409504,0.0,0.0,0.0,0.0,0.00022103375613432758
2017-01-01 05:00:00,0.0,0.0,0.0,0.004654099358642753,0.0,0.0,0.12357618276651978,0.02514797294346971,0.0,0.0,0.0,7.588411724420888e-07,0.0,0.0009370274461116522,0.00026889812809530417,0.0,0.0,0.006697647188864139,0.0,0.0,0.0,0.0,0.00020360762596766663
2017-01-01 06:00:00,0.0,0.0,0.0,0.004455951493445891,0.0,0.0,0.12312864212772787,0.024152777668011827,0.0,0.0,0.0,7.265335771898177e-07,0.0,0.0009890987177372682,0.00016719987937751724,0.0,0.0,0.0064124954570149465,0.0,0.00011703210735000848,0.0,0.0,0.00017283187072319233
2017-01-01 07:00:00,0.0,0.0,0.0,0.004490651885394897,0.0,0.0,0.12429922378686523,0.024325651664177717,0.0,0.0,0.0,7.321914035664474e-07,0.0,0.0010174606736478495,0.0001229298156796276,0.0,0.0,0.006462432290047562,0.0,0.00026288743820728335,0.0,0.0,0.0001471474190067124
2017-01-01 08:00:00,0.0,0.0,0.0,0.004229773185757092,0.0,0.0,0.12316797815565883,0.022974738439187486,0.0,0.0,0.0,6.919622176037298e-07,0.0,0.0009623988471469862,0.0001273045926412658,0.0,0.0,0.006107363398086444,0.0,0.0008021652930561126,0.0,0.0,0.0001537554217800933
2017-01-01 09:00:00,0.0,0.0,0.0,0.004175527795700157,0.0,0.0,0.13089794386940135,0.022675222437456517,0.0,0.0,0.0,6.808110794131534e-07,0.0,0.0009501995189328752,0.00011937764689993608,0.0,0.0,0.00600894176248331,0.0,0.0015977346644993331,0.0,0.0,0.0001492411142744364
2017-01-01 10:00:00,0.0,0.0,0.0,0.004169496332627216,0.0,0.0,0.13727293362839535,0.022035090621210274,0.0,0.0,0.0,6.798276619660564e-07,0.0,0.0009512468358336954,8.871498596402996e-05,0.0,0.0,0.006000261971060249,0.0,0.0022613593270882485,0.0,0.0,0.0001249857310402672
2017-01-01 11:00:00,0.0,0.0,0.0,0.004321985356697185,0.0,0.0,0.14224906495307654,0.02265062774400517,0.0,0.0,0.0,7.046906786085613e-07,0.0,0.0009835279772290374,0.00010578108764793025,0.0,0.0,0.00621970672388837,0.0,0.0026006645177299942,0.0,0.0,0.00010985246755820115
2017-01-01 12:00:00,0.0,0.0,0.0,0.00430387715734348,0.0,0.0,0.14597605543160014,0.022614048973615884,0.0,0.0,0.0,7.017381745536438e-07,0.0,0.0009881802123295326,0.00017222928766067415,0.0,0.0,0.006193647475653474,0.0,0.0023250024632012673,0.0,0.0,0.00012455094649275957
2017-01-01 13:00:00,0.0,0.0,0.0,0.004163353050142674,0.0,0.0,0.15882481452303848,0.021889789999247778,0.0,0.0,0.0,6.788260125976227e-07,0.0,0.0009641074426635448,0.0004492234515423003,0.0,0.0,0.005991421261936456,0.0,0.0015877693645120288,0.0,0.0,0.00010660772954709757
2017-01-01 14:00:00,0.0,0.0,0.0,0.004035179389998869,0.0,0.0,0.17786506475131847,0.02117487687555325,0.0,0.0,0.0,6.579275652193779e-07,0.04936261300367562,0.0009175187657225499,0.00026832494584960785,0.0,0.0,0.005806968398257386,0.0,0.0007402756146273304,0.0,0.0,0.0001295885619847127
2017-01-01 15:00:00,0.0,0.0,0.0,0.0036495012750543472,0.0,0.0,0.19420043802111356,0.020053538115936846,0.0,0.0,0.0,5.950435547209203e-07,0.10892132753526389,0.0009104137519986191,0.0004790551566301732,0.0,0.0,0.005251944591649635,0.0,0.00020828992829174535,0.0,0.0,0.00013074664711002298
