,AT,CH,DE,FR,IT
CH,H,,H,H,H
CZ,H,,H,,
DE,H,H,,H,
HU,H,,,,
IT,H,H,,H,
SI,H,,,,H
AT,,H,H,,H
FR,,H,H,,H
DK,,,H,,
NL,,,H,,
PL,,,H,,
SE,,,H,,
BE,,,,H,
ES,,,,H,
GB,,,,H,
GR,,,,,H
MT,,,,,H
