,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2022-01-01 00:00:00,0.0,0.0,0.0,0.043629564,0.0,0.033318296,0.40175292,0.09441258,0.01301798,0.0,0.0,0.04118064,6.444545e-05,0.13630213,0.015595798,0.0,0.0,0.08796804,0.0,0.0,0.002320036,0.0,0.13043758
2022-01-01 01:00:00,0.0,0.0,0.0,0.046239253,0.0,0.036016516,0.37634555,0.0928847,0.01814366,0.0,0.0,0.04332814,0.0,0.13208313,0.013540044,0.0,0.0,0.09410331,0.0,0.0,0.0024372078,0.0,0.14487848
2022-01-01 02:00:00,0.0,0.0,0.0,0.04706047,0.0,0.038280535,0.36608836,0.090679206,0.020369459,0.0,0.0,0.044883046,0.0,0.12860854,0.010887125,0.0,0.0,0.09376975,0.0,0.0,0.0025286225,0.0,0.15684484
2022-01-01 03:00:00,0.0,0.0,0.0,0.04779251,0.0,0.040288504,0.34037593,0.093545094,0.013623781,0.0,0.0,0.047209676,0.0,0.13419788,0.011511002,0.0,0.0,0.096386425,0.0,0.0,0.0025499053,0.0,0.17251931
2022-01-01 04:00:00,0.0,0.0,0.0,0.04790375,0.0,0.040965457,0.3444789,0.095659874,0.012474165,0.0,0.0,0.047829937,0.0,0.13418955,0.011809861,0.0,0.0,0.103188656,0.0,0.0,0.0027310303,0.0,0.15876882
2022-01-01 05:00:00,0.0,0.0,0.0,0.047633138,0.0,0.040902365,0.362426,0.09659763,0.012499999,0.0,0.0,0.04800296,0.0,0.14275147,0.011760355,0.0,0.0,0.100147925,0.0,0.0,0.0026627218,0.0,0.13461538
2022-01-01 06:00:00,0.0,0.0,0.0,0.04689897,0.0,0.0403974,0.35050043,0.095258966,0.013149245,0.0,0.0,0.04733728,0.0,0.16012858,0.015048579,0.0,0.0,0.09467456,0.0,0.0031412083,0.0024837463,0.0,0.13098109
2022-01-01 07:00:00,0.0,0.0,0.0,0.045428894,0.0,0.039150678,0.30036682,0.09135158,0.002045711,0.0,0.0,0.04571106,0.0,0.17522573,0.016859481,0.0,0.0,0.09382054,0.0,0.06348759,0.0024689618,0.0,0.12408296
2022-01-01 08:00:00,0.0,0.0,0.0,0.042691756,0.0,0.036508355,0.2679253,0.08229181,0.001907644,0.0,0.0,0.042560197,0.0,0.14498094,0.013221947,0.0,0.0,0.08255494,0.0,0.16162348,0.002236548,0.0,0.121497184
2022-01-01 09:00:00,0.0,0.0,0.0,0.039091293,0.0,0.033532713,0.26795962,0.069965556,0.0017521599,0.0,0.0,0.039091293,0.005316899,0.1242221,0.011117153,0.0,0.0,0.07576581,0.0,0.2306205,0.001993837,0.0,0.09957101
