,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2021-01-01 00:00:00,0.0,0.0,0.0,1.9935929099992552e-06,0.0,0.0,8.153664257337721e-06,2.831574028101837e-07,7.490186501713407e-06,0.0,0.0,0.0,1.2855472422296942e-06,6.213515210833655e-07,1.2544884129098955e-07,0.0,2.06847076342012e-05,0.0,0.0,0.0,0.0,0.0,5.745156494748202e-07
2021-01-01 01:00:00,0.0,0.0,0.0,2.049882144076768e-06,0.0,0.0,7.640142348057053e-06,2.919522408697013e-07,7.685522516096373e-06,0.0,0.0,0.0,1.1804589709418864e-06,6.125721474135609e-07,1.1513308039578515e-07,0.0,2.0822287754883494e-05,0.0,0.0,0.0,0.0,0.0,5.984214014884747e-07
2021-01-01 02:00:00,0.0,0.0,0.0,2.0889840605201685e-06,0.0,0.0,7.251554537237902e-06,2.9752128890543216e-07,7.870145438598067e-06,0.0,0.0,0.0,1.0551929312881426e-06,6.140278945068706e-07,1.3707920617797945e-07,0.0,2.1257263890423273e-05,0.0,0.0,0.0,0.0,0.0,6.45213661086678e-07
2021-01-01 03:00:00,0.0,0.0,0.0,2.1183998696870595e-06,0.0,0.0,7.072556848756076e-06,3.0171080361879507e-07,7.980968063199537e-06,0.0,0.0,0.0,9.201870607942057e-07,5.904331379080913e-07,1.4835589390731548e-07,0.0,2.1636798113842482e-05,0.0,0.0,0.0,0.0,0.0,6.662576397996089e-07
2021-01-01 04:00:00,0.0,0.0,0.0,2.10614358581687e-06,0.0,0.0,7.073735721189695e-06,3.0245800140883117e-07,8.000733221184089e-06,0.0,0.0,0.0,7.722302610690346e-07,5.814964456172132e-07,9.949588949292696e-08,0.0,2.1678768965431547e-05,0.0,0.0,0.0,0.0,0.0,6.793248759072583e-07
2021-01-01 05:00:00,0.0,0.0,0.0,2.0895315536940114e-06,0.0,0.0,7.068591340926747e-06,3.000723891129485e-07,7.937628104243457e-06,0.0,0.0,0.0,6.170887265329746e-07,5.93221797545124e-07,1.2010591165347117e-07,0.0,2.1518415049768896e-05,0.0,0.0,0.0,0.0,0.0,7.141782195298061e-07
2021-01-01 06:00:00,0.0,0.0,0.0,2.0627671357389065e-06,0.0,0.0,7.028177473885597e-06,2.9298247492174755e-07,7.750083017849092e-06,0.0,0.0,0.0,1.4140412662091637e-06,6.052051314924305e-07,2.1436728996756046e-07,0.0,2.1061480725506606e-05,0.0,0.0,0.0,0.0,0.0,7.050457625243357e-07
2021-01-01 07:00:00,0.0,0.0,0.0,2.014479518913778e-06,0.0,0.0,6.889815509073699e-06,2.877004462232464e-07,7.573595772900965e-06,0.0,0.0,0.0,2.809561046152604e-06,5.993736404961043e-07,9.76120804819726e-08,0.0,2.104759398364985e-05,0.0,0.0,5.804324202665754e-07,0.0,0.0,7.183992302389992e-07
2021-01-01 08:00:00,0.0,0.0,0.0,1.9567599174820496e-06,0.0,0.0,6.8641446124792145e-06,2.802291292466885e-07,7.376916430152382e-06,0.0,0.0,0.0,4.361640106028808e-06,6.198733408043537e-07,6.173127321391264e-08,0.0,2.070172162436082e-05,0.0,0.0,1.5950075792393356e-06,0.0,0.0,6.844047772180993e-07
2021-01-01 09:00:00,0.0,0.0,0.0,1.9156490989612913e-06,0.0,0.0,6.919381574455949e-06,2.735858545116896e-07,7.236996293177916e-06,0.0,0.0,0.0,4.231191487194319e-06,6.122965116721332e-07,6.78013152128001e-08,0.0,2.032933630842615e-05,0.0,0.0,4.153548923268943e-06,0.0,0.0,6.387469172472192e-07
