,Residual_Hydro_Water_Reservoir_AT,Residual_Hydro_Run-of-river_and_poundage_AT,Residual_Other_AT,Biomass_AT,Fossil_Brown_coal/Lignite_AT,Fossil_Coal-derived_gas_AT,Fossil_Gas_AT,Fossil_Hard_coal_AT,Fossil_Oil_AT,Fossil_Oil_shale_AT,Fossil_Peat_AT,Geothermal_AT,Hydro_Pumped_Storage_AT,Hydro_Run-of-river_and_poundage_AT,Hydro_Water_Reservoir_AT,Marine_AT,Nuclear_AT,Other_fossil_AT,Other_renewable_AT,Solar_AT,Waste_AT,Wind_Offshore_AT,Wind_Onshore_AT
2018-01-01 00:00:00,0.0,0.0,0.0,1.3604672412260934e-05,0.0,0.0,1.6457092523131812e-06,9.845362381501046e-06,0.0,0.0,0.0,1.1436977858281983e-09,0.0,3.223044306560682e-06,2.6928883202634786e-07,0.0,0.0,8.005884499133951e-06,0.0,0.0,0.0,0.0,4.066575059259697e-06
2018-01-01 01:00:00,0.0,0.0,0.0,1.3510402073902924e-05,0.0,0.0,1.5998751027469279e-06,9.692799457037813e-06,0.0,0.0,0.0,1.1357728043231554e-09,0.0,3.1589972507291947e-06,2.3642364461430769e-07,0.0,0.0,7.95040962861018e-06,0.0,0.0,0.0,0.0,4.494797568207384e-06
2018-01-01 02:00:00,0.0,0.0,0.0,1.398968003290085e-05,0.0,0.0,1.6494999567779924e-06,1.0023213229684286e-05,0.0,0.0,0.0,1.176064045735788e-09,0.0,3.215786887836572e-06,1.8038682440388848e-07,0.0,0.0,8.232448318440006e-06,0.0,0.0,0.0,0.0,3.4741086464588756e-06
2018-01-01 03:00:00,0.0,0.0,0.0,1.4711382401734288e-05,0.0,0.0,1.8120765407491051e-06,1.0526163864449576e-05,0.0,0.0,0.0,1.2367350693554296e-09,0.0,3.4133888709630844e-06,1.4785568002010457e-07,0.0,0.0,8.657145483689254e-06,0.0,0.0,0.0,0.0,2.394797280947641e-06
2018-01-01 04:00:00,0.0,0.0,0.0,1.4623718876974262e-05,0.0,0.0,1.8782987234841429e-06,1.0456416729625145e-05,0.0,0.0,0.0,1.229365499833448e-09,0.0,3.5114031217092907e-06,2.2247044638830638e-07,0.0,0.0,8.605558497046106e-06,0.0,0.0,0.0,0.0,1.6862295965199474e-06
2018-01-01 05:00:00,0.0,0.0,0.0,1.4282656284107183e-05,0.0,0.0,2.237303687900939e-06,1.0239981573473533e-05,0.0,0.0,0.0,1.2006935465169271e-09,0.0,3.5375706257554304e-06,1.3350775770437174e-07,0.0,0.0,8.40485482387216e-06,0.0,0.0,0.0,0.0,1.658596285833239e-06
2018-01-01 06:00:00,0.0,0.0,0.0,1.415034735374481e-05,0.0,0.0,2.245427468106826e-06,1.0111146770391568e-05,0.0,0.0,0.0,1.189570792060571e-09,0.0,3.588718877675995e-06,1.2666920434821917e-07,0.0,0.0,8.326995542693845e-06,0.0,2.712184442399659e-07,0.0,0.0,1.6847465455903778e-06
2018-01-01 07:00:00,0.0,0.0,0.0,1.4266874869705662e-05,0.0,0.0,2.096669639899564e-06,1.0214965097176672e-05,0.0,0.0,0.0,1.199366857555862e-09,0.0,3.700700882184456e-06,1.2898021142975633e-07,0.0,0.0,8.395568001146632e-06,0.0,6.829047137396499e-07,0.0,0.0,1.5580005557148176e-06
2018-01-01 08:00:00,0.0,0.0,0.0,1.3890312281086316e-05,0.0,0.0,2.046049511156736e-06,9.93200805742788e-06,0.0,0.0,0.0,1.1677105423004104e-09,0.0,3.6075886230852406e-06,1.5374349384700986e-07,0.0,0.0,8.173973794404513e-06,0.0,2.055668313006598e-06,0.0,0.0,1.3748697854169608e-06
2018-01-01 09:00:00,0.0,0.0,0.0,1.3259831617474841e-05,0.0,0.0,1.9306513921068243e-06,9.513032106611786e-06,0.0,0.0,0.0,1.1147082121355122e-09,0.0,3.4869086069633815e-06,1.562994509161436e-07,0.0,0.0,7.802957483327314e-06,0.0,3.7402884640197385e-06,0.0,0.0,1.6023865255275842e-06
2018-01-01 10:00:00,0.0,0.0,0.0,1.2510655818481068e-05,0.0,0.0,1.7663067926058177e-06,8.957526697029965e-06,0.0,0.0,0.0,1.0517275922028302e-09,0.0,3.4647732625381455e-06,2.2084912713743947e-07,0.0,0.0,7.36209314389014e-06,0.0,4.7631009648135725e-06,0.0,0.0,2.3511101604208566e-06
2018-01-01 11:00:00,0.0,0.0,0.0,1.2176400566606635e-05,0.0,0.0,1.6922218307552125e-06,8.72404936797112e-06,0.0,0.0,0.0,1.023627908514327e-09,0.0,3.3850446061319373e-06,1.8868253646800278e-07,0.0,0.0,7.165395358111488e-06,0.0,5.058188644713311e-06,0.0,0.0,3.4169239159242577e-06
2018-01-01 12:00:00,0.0,0.0,0.0,1.2098026552412912e-05,0.0,0.0,1.6607756071187917e-06,8.667897472243395e-06,0.0,0.0,0.0,1.017039276036926e-09,0.0,3.3605751755398314e-06,1.403567040251536e-07,0.0,0.0,7.119274930779262e-06,0.0,4.499490522630306e-06,0.0,0.0,4.3199835775149225e-06
