,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2022-01-01 00:00:00,0.0,0.0,0.0,2.4150391658853305e-06,0.0,0.0,5.8344057779979925e-06,1.0304625303397804e-06,8.930864573962015e-06,0.0,0.0,0.0,2.394479409624969e-06,8.876329889407742e-07,3.099341375860231e-07,0.0,1.8815560629541714e-05,0.0,0.0,0.0,0.0,0.0,1.98609206446554e-06
2022-01-01 01:00:00,0.0,0.0,0.0,2.444331066827357e-06,0.0,0.0,5.723555570887949e-06,1.0917626131949746e-06,9.179160345882998e-06,0.0,0.0,0.0,2.019047740386547e-06,8.784123408520751e-07,2.2491604659049018e-07,0.0,1.8932213767899345e-05,0.0,0.0,0.0,0.0,0.0,1.950464488182034e-06
2022-01-01 02:00:00,0.0,0.0,0.0,2.5430202779099605e-06,0.0,0.0,5.996227793169651e-06,1.1025713657268517e-06,9.691685815857454e-06,0.0,0.0,0.0,1.6616808007954676e-06,9.000203204754056e-07,9.985268621062075e-08,0.0,1.926864795277431e-05,0.0,0.0,0.0,0.0,0.0,2.095641842097479e-06
2022-01-01 03:00:00,0.0,0.0,0.0,2.555651972796902e-06,0.0,0.0,6.1154227097766556e-06,1.163256371483108e-06,9.918654835556152e-06,0.0,0.0,0.0,1.234107395145692e-06,9.181555095493357e-07,9.177500941033481e-08,0.0,1.9384532644399476e-05,0.0,0.0,0.0,0.0,0.0,2.3187150412518065e-06
2022-01-01 04:00:00,0.0,0.0,0.0,2.5189890633105407e-06,0.0,0.0,6.084637454124192e-06,1.1161555533421564e-06,9.856938077507785e-06,0.0,0.0,0.0,7.707032782329725e-07,9.059417010466683e-07,9.349728829583906e-08,0.0,1.947584654069651e-05,0.0,0.0,0.0,0.0,0.0,2.4444540786244138e-06
2022-01-01 05:00:00,0.0,0.0,0.0,2.452275460009387e-06,0.0,0.0,6.001208257015915e-06,1.1410760662428473e-06,9.729531614554632e-06,0.0,0.0,0.0,3.109068674292639e-07,9.02787564090478e-07,1.0604503591825082e-07,0.0,1.950599486579613e-05,0.0,0.0,0.0,0.0,0.0,2.504426436656404e-06
2022-01-01 06:00:00,0.0,0.0,0.0,2.362687823188739e-06,0.0,0.0,6.14330135361394e-06,1.067426432698272e-06,9.382759192583683e-06,0.0,0.0,0.0,2.7099558198276315e-06,8.751576141295098e-07,1.0544266929020919e-07,0.0,1.9063860440101714e-05,0.0,0.0,0.0,0.0,0.0,2.6265511097749568e-06
2022-01-01 07:00:00,0.0,0.0,0.0,2.241356104345893e-06,0.0,0.0,5.8203095020610905e-06,1.0097820857842227e-06,8.876061017102803e-06,0.0,0.0,0.0,4.767811006279553e-06,8.247295645883127e-07,9.639688974529814e-08,0.0,1.884298422844928e-05,0.0,0.0,8.926065344856901e-07,0.0,0.0,2.7756946010841283e-06
2022-01-01 08:00:00,0.0,0.0,0.0,2.1850070163946855e-06,0.0,0.0,5.634744609508108e-06,9.816534866031714e-07,8.628808499780972e-06,0.0,0.0,0.0,4.771762368731976e-06,8.318088237979196e-07,9.293588886925049e-08,0.0,1.8513803108051995e-05,0.0,0.0,3.421179485780443e-06,0.0,0.0,2.880608630741246e-06
2022-01-01 09:00:00,0.0,0.0,0.0,2.1468369797118113e-06,0.0,0.0,5.537630701851453e-06,9.618257345347664e-07,8.49402816504766e-06,0.0,0.0,0.0,3.116920421483566e-06,8.206096032784341e-07,8.89304889514082e-08,0.0,1.8325678059036438e-05,0.0,0.0,8.397615951990155e-06,0.0,0.0,2.8259262176763702e-06
2022-01-01 10:00:00,0.0,0.0,0.0,2.0630384673838943e-06,0.0,0.0,5.387354719047707e-06,9.346675263803469e-07,8.254189931682602e-06,0.0,0.0,0.0,2.5619800578950137e-06,7.931117089881097e-07,1.3029392299802935e-07,0.0,1.8082423601048556e-05,0.0,0.0,1.2521796301723065e-05,0.0,0.0,2.5987049162685753e-06
2022-01-01 11:00:00,0.0,0.0,0.0,2.061717846027574e-06,0.0,0.0,5.399219243073804e-06,9.262636214708457e-07,8.17997377959325e-06,0.0,0.0,0.0,2.3587968799766243e-06,7.971851598495302e-07,1.885597058053434e-07,0.0,1.8021405991892915e-05,0.0,0.0,1.4328642807556985e-05,0.0,0.0,2.1859195072811165e-06
2022-01-01 12:00:00,0.0,0.0,0.0,2.0913305459232087e-06,0.0,0.0,5.397247658550926e-06,9.395676565984986e-07,8.297463720884671e-06,0.0,0.0,0.0,2.251106559956006e-06,8.10038375394733e-07,1.8651601111838917e-07,0.0,1.821111942055742e-05,0.0,0.0,1.4745485623399246e-05,0.0,0.0,1.8411133936934737e-06
2022-01-01 13:00:00,0.0,0.0,0.0,2.1331060700632714e-06,0.0,0.0,5.407818594572983e-06,9.61012974444809e-07,8.48685055807828e-06,0.0,0.0,0.0,1.4717936957592877e-06,8.131708451411056e-07,2.1553116068211065e-07,0.0,1.8707982352896405e-05,0.0,0.0,1.2418665635015828e-05,0.0,0.0,1.6528455429372158e-06
