,GWP,CED renewable,CED non-renewable,ES2013
Fossil_Hard_coal_PL,1.1688069105148315,0.18389655649662018,13.522053718566895,891.540771484375
Fossil_Oil_PL,0.8796477317810059,0.04523622989654541,13.10109806060791,812.2437744140625
Fossil_Oil_shale_PL,0.0,0.0,0.0,0.0
Fossil_Peat_PL,0.0,0.0,0.0,0.0
Geothermal_PL,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_PL,1.4165619611740112,1.9924169778823853,16.77383041381836,1117.6959228515625
Hydro_Run-of-river_and_poundage_PL,0.004365980625152588,3.793076753616333,0.0433325432240963,11.914128303527832
Hydro_Water_Reservoir_PL,0.1356000006198883,4.122755527496338,1.8555277585983276,252.07203674316406
Marine_PL,0.0,0.0,0.0,0.0
Nuclear_PL,0.0,0.0,0.0,0.0
Other_fossil_PL,0.0,0.0,0.0,0.0
Other_renewable_PL,0.0,0.0,0.0,0.0
Solar_PL,0.0,0.0,0.0,0.0
Waste_PL,0.0,0.0,0.0,0.0
Wind_Offshore_PL,0.0,0.0,0.0,0.0
Wind_Onshore_PL,0.016260532662272453,3.8844406604766846,0.21949344873428345,38.439937591552734
Biomass_BG,0.11390803754329681,7.430545330047607,0.5188958644866943,627.7723999023438
Fossil_Brown_coal/Lignite_BG,1.1441221237182617,0.04614003375172615,12.798202514648438,950.178955078125
Fossil_Coal-derived_gas_BG,0.0,0.0,0.0,0.0
Fossil_Gas_BG,0.9464284777641296,0.018664119765162468,17.596654891967773,600.8810424804688
Fossil_Hard_coal_BG,1.5852898359298706,0.17303648591041565,14.844733238220215,1218.3690185546875
Fossil_Oil_BG,1.0202935934066772,0.05248183757066727,15.195899963378906,1642.9140625
Fossil_Oil_shale_BG,0.0,0.0,0.0,0.0
Fossil_Peat_BG,0.0,0.0,0.0,0.0
Geothermal_BG,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_BG,0.9003790020942688,1.0278489589691162,17.148210525512695,961.8869018554688
Hydro_Run-of-river_and_poundage_BG,0.004366000182926655,3.793076992034912,0.04333300143480301,11.914130210876465
Hydro_Water_Reservoir_BG,0.06790000200271606,3.9451019763946533,0.9450711607933044,270.1302795410156
Marine_BG,0.0,0.0,0.0,0.0
Nuclear_BG,0.0119439996778965,0.01997300051152706,13.400750160217285,313.48529052734375
Other_fossil_BG,0.0,0.0,0.0,0.0
Other_renewable_BG,0.0,0.0,0.0,0.0
Solar_BG,0.07822270691394806,4.007174015045166,0.9816182255744934,139.28875732421875
Waste_BG,0.0,0.0,0.0,0.0
Wind_Offshore_BG,0.0,0.0,0.0,0.0
Wind_Onshore_BG,0.01922428421676159,3.886957883834839,0.2494976669549942,49.716331481933594
