,Carbon intensity,Human carcinogenic toxicity,Fine particulate matter formation,Land use
2020-01-01 00:00:00,0.06256347,0.0035627803,4.5858258e-05,0.0022194237
2020-01-01 01:00:00,0.052878708,0.0035963564,4.549909e-05,0.002241078
2020-01-01 02:00:00,0.04268184,0.0037028578,4.6200767e-05,0.002291286
2020-01-01 03:00:00,0.045356393,0.0038763555,5.043121e-05,0.0023848824
2020-01-01 04:00:00,0.04721752,0.003980641,5.29746e-05,0.0024233127
2020-01-01 05:00:00,0.045602325,0.0038490116,5.020781e-05,0.0023867658
2020-01-01 06:00:00,0.046709586,0.0038077973,4.9497226e-05,0.002384354
2020-01-01 07:00:00,0.04700811,0.0037478148,4.9072147e-05,0.0024039156
2020-01-01 08:00:00,0.0478476,0.003661248,4.696917e-05,0.002410756
2020-01-01 09:00:00,0.051614285,0.0039288187,5.2309577e-05,0.0025598437
2020-01-01 10:00:00,0.05427525,0.0041083097,5.479804e-05,0.002656654
2020-01-01 11:00:00,0.058920708,0.0044382857,6.0875493e-05,0.002780453
2020-01-01 12:00:00,0.056100383,0.0042053144,5.62406e-05,0.0026940755
2020-01-01 13:00:00,0.05140794,0.0037224474,4.94389e-05,0.0025130953
2020-01-01 14:00:00,0.059899088,0.0038860815,5.726147e-05,0.0025513892
2020-01-01 15:00:00,0.068479076,0.003945881,6.0063125e-05,0.0024955268
2020-01-01 16:00:00,0.07484951,0.0039501786,6.0644048e-05,0.0024617596
2020-01-01 17:00:00,0.07099266,0.003338072,4.6285182e-05,0.0021712258
2020-01-01 18:00:00,0.07676056,0.0035674942,5.1549992e-05,0.0022543445
2020-01-01 19:00:00,0.079599485,0.003729974,5.488559e-05,0.0023342106
2020-01-01 20:00:00,0.07666542,0.0035847118,5.1921885e-05,0.002295469
2020-01-01 21:00:00,0.077337526,0.0037287017,5.501562e-05,0.0023567015
2020-01-01 22:00:00,0.076779716,0.0039916043,5.8940375e-05,0.002447832
2020-01-01 23:00:00,0.06907752,0.003673568,5.1837997e-05,0.0023436232
2020-01-02 00:00:00,0.06593589,0.003635262,5.079992e-05,0.0023475948
2020-01-02 01:00:00,0.06336843,0.003470657,4.695894e-05,0.0022926498
2020-01-02 02:00:00,0.06504572,0.0037449694,5.3171185e-05,0.002402551
2020-01-02 03:00:00,0.067063496,0.003895845,5.667619e-05,0.0024571961
2020-01-02 04:00:00,0.067703284,0.003927825,5.7052428e-05,0.002450255
2020-01-02 05:00:00,0.082002714,0.0041167913,6.290999e-05,0.0025055113
2020-01-02 06:00:00,0.0867536,0.0041322014,6.345857e-05,0.0024938486
2020-01-02 07:00:00,0.08321334,0.003746068,5.4022126e-05,0.0023024948
2020-01-02 08:00:00,0.08512481,0.003826932,5.5278124e-05,0.0023246733
2020-01-02 09:00:00,0.08167279,0.0036896125,5.097236e-05,0.0022978787
2020-01-02 10:00:00,0.08350498,0.003928317,5.610932e-05,0.0024104519
2020-01-02 11:00:00,0.085365735,0.004167739,6.108551e-05,0.0025000838
2020-01-02 12:00:00,0.08561232,0.004215082,6.192824e-05,0.0025079385
2020-01-02 13:00:00,0.086838715,0.004247821,6.279814e-05,0.0025011695
2020-01-02 14:00:00,0.08429843,0.004165181,6.0444014e-05,0.0024172605
2020-01-02 15:00:00,0.082391135,0.0040599285,5.7089375e-05,0.0023310746
2020-01-02 16:00:00,0.08573602,0.0043004593,6.135147e-05,0.002368669
2020-01-02 17:00:00,0.076297745,0.0036944724,4.561471e-05,0.0020775895
2020-01-02 18:00:00,0.07838876,0.0039035205,4.8896753e-05,0.0021335892
2020-01-02 19:00:00,0.077162854,0.0039287615,4.797207e-05,0.002128533
2020-01-02 20:00:00,0.07535461,0.0041170875,5.084735e-05,0.002220997
2020-01-02 21:00:00,0.07116121,0.0040630377,4.889159e-05,0.0022015816
2020-01-02 22:00:00,0.069234274,0.004239026,5.2424468e-05,0.0022680955
2020-01-02 23:00:00,0.055763,0.0044011753,5.3310345e-05,0.0023334462
2020-01-03 00:00:00,0.056677856,0.0045964,5.6705278e-05,0.0023934722
2020-01-03 01:00:00,0.05486993,0.00459244,5.5656506e-05,0.0023866396
2020-01-03 02:00:00,0.05285248,0.004474242,5.2168387e-05,0.0023380194
2020-01-03 03:00:00,0.05058155,0.004410587,4.9559072e-05,0.0022866623
2020-01-03 04:00:00,0.05042105,0.0043733483,4.817688e-05,0.0022612521
2020-01-03 05:00:00,0.057209805,0.0044733863,5.137757e-05,0.0022773782
2020-01-03 06:00:00,0.06794128,0.004406644,5.13824e-05,0.0021970866
2020-01-03 07:00:00,0.07546874,0.004446287,5.324007e-05,0.0022088513
2020-01-03 08:00:00,0.07615959,0.0043452308,5.1967407e-05,0.0022094476
2020-01-03 09:00:00,0.07354361,0.004220837,4.899047e-05,0.0021937373
2020-01-03 10:00:00,0.069877155,0.0043047145,4.9822465e-05,0.0022454117
2020-01-03 11:00:00,0.07114878,0.004357566,5.0612467e-05,0.0022717153
2020-01-03 12:00:00,0.07309418,0.004308756,4.9988554e-05,0.0022680042
2020-01-03 13:00:00,0.07451877,0.0041899187,4.900407e-05,0.0022346901
2020-01-03 14:00:00,0.07712721,0.004008674,4.7144746e-05,0.0021780238
2020-01-03 15:00:00,0.078165956,0.0038902618,4.672335e-05,0.002141478
2020-01-03 16:00:00,0.079028375,0.003837409,4.6979876e-05,0.002083245
2020-01-03 17:00:00,0.079705074,0.0038824398,4.7738427e-05,0.0020834988
2020-01-03 18:00:00,0.07990976,0.0039124326,4.890126e-05,0.0021287482
2020-01-03 19:00:00,0.081046835,0.003958363,4.9993567e-05,0.0022070284
2020-01-03 20:00:00,0.078723416,0.0039508105,5.0238043e-05,0.0022510877
2020-01-03 21:00:00,0.07457155,0.0038137406,4.8114824e-05,0.002207987
2020-01-03 22:00:00,0.07400839,0.0041980175,5.516865e-05,0.0023731068
2020-01-03 23:00:00,0.071755864,0.00438618,5.8930586e-05,0.0024864997
2020-01-04 00:00:00,0.073060915,0.004578582,6.2615414e-05,0.002605134
2020-01-04 01:00:00,0.07298521,0.004703479,6.633029e-05,0.0026618834
2020-01-04 02:00:00,0.06816315,0.004434609,6.3660584e-05,0.0025939215
2020-01-04 03:00:00,0.065638095,0.004410638,6.27178e-05,0.0025978617
2020-01-04 04:00:00,0.06972233,0.004656164,6.747458e-05,0.0026823294
2020-01-04 05:00:00,0.07263959,0.0046884767,6.870093e-05,0.0026685032
2020-01-04 06:00:00,0.077075504,0.0046864636,6.8151785e-05,0.0026486064
2020-01-04 07:00:00,0.077884726,0.004452044,6.2116196e-05,0.0025359157
2020-01-04 08:00:00,0.0782407,0.0044566016,6.2119565e-05,0.0025318
2020-01-04 09:00:00,0.076718196,0.0042459755,5.9383645e-05,0.0024835395
2020-01-04 10:00:00,0.07739147,0.0044072825,6.18982e-05,0.0026093957
2020-01-04 11:00:00,0.08014086,0.004584253,6.5134154e-05,0.0027077047
2020-01-04 12:00:00,0.08000554,0.0046368525,6.5357875e-05,0.002716877
2020-01-04 13:00:00,0.07802312,0.0045228093,6.2793806e-05,0.0026702287
2020-01-04 14:00:00,0.07687524,0.0041161813,5.5865155e-05,0.0024940372
2020-01-04 15:00:00,0.07846856,0.0038935484,5.283754e-05,0.0023719731
2020-01-04 16:00:00,0.07617144,0.0035082018,4.6255365e-05,0.0021643976
2020-01-04 17:00:00,0.08150745,0.003929646,5.334351e-05,0.0022518048
2020-01-04 18:00:00,0.08385701,0.004138975,5.685943e-05,0.002326331
2020-01-04 19:00:00,0.08213111,0.0040221903,5.4682765e-05,0.002313162
2020-01-04 20:00:00,0.07758437,0.0038946066,5.1288676e-05,0.0022859904
2020-01-04 21:00:00,0.08181779,0.0041366597,5.4573567e-05,0.002365543
2020-01-04 22:00:00,0.08705847,0.004384043,5.7821413e-05,0.0024498177
2020-01-04 23:00:00,0.08091844,0.003993704,5.2771742e-05,0.0023716718
2020-01-05 00:00:00,0.0777199,0.003977012,5.217102e-05,0.0023860242
2020-01-05 01:00:00,0.077869646,0.003992591,5.3359472e-05,0.0024083322
2020-01-05 02:00:00,0.075858735,0.0038711138,5.3318625e-05,0.0024012164
2020-01-05 03:00:00,0.07165445,0.0035699906,4.757517e-05,0.002289848
2020-01-05 04:00:00,0.076526225,0.003908681,5.5655742e-05,0.0024303661
2020-01-05 05:00:00,0.07925505,0.0040424094,5.8950136e-05,0.0024962963
2020-01-05 06:00:00,0.081239454,0.0040678377,5.980931e-05,0.0024952511
2020-01-05 07:00:00,0.076336406,0.0037472919,5.292524e-05,0.0023721468
2020-01-05 08:00:00,0.073522136,0.0036027592,4.9990264e-05,0.0023380315
2020-01-05 09:00:00,0.072825834,0.0036375427,5.036432e-05,0.002402969
2020-01-05 10:00:00,0.075912215,0.003713536,5.2719126e-05,0.002487827
2020-01-05 11:00:00,0.07825881,0.0037593367,5.4038086e-05,0.0025259664
