,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2016-01-01 00:00:00,3.939811240925988e-06,7.871809460733766e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012839857908754907,5.19986122914537e-07,3.057746076267965e-06,0.0,8.662914227662218e-05,0.0,0.0,1.4526946671389382e-08,0.0,0.0,4.021585904954226e-07
2016-01-01 01:00:00,3.953945913523268e-06,7.90005077552566e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206406591367538e-05,5.239217480955939e-07,2.98150003146504e-06,0.0,8.700282877096737e-05,0.0,0.0,1.1891821523043934e-08,0.0,0.0,3.852713262198058e-07
2016-01-01 02:00:00,3.8263284828255e-06,7.645068991655956e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.751246509832146e-05,5.075132990402205e-07,2.829465629156656e-06,0.0,8.50745321125106e-05,0.0,0.0,9.035903370474478e-09,0.0,0.0,4.5636308577615213e-07
2016-01-01 03:00:00,3.9423408805191715e-06,7.876863723403768e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1479312220743366e-05,5.402098547411296e-07,2.974247800674181e-06,0.0,9.08155849175005e-05,0.0,0.0,8.841831422797776e-09,0.0,0.0,4.11401039977995e-07
2016-01-01 04:00:00,4.1178963209448595e-06,8.227626461087974e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052978052846769e-05,5.506997039673292e-07,3.1656682469455664e-06,0.0,9.228327585847494e-05,0.0,0.0,1.4958635370357984e-08,0.0,0.0,5.065485840981635e-07
2016-01-01 05:00:00,4.154445917037188e-06,8.300653171940744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9856303436222335e-05,5.441591503733745e-07,3.4562599914475325e-06,0.0,9.206970025464934e-05,0.0,0.0,2.75609359908426e-08,0.0,0.0,3.883497033549324e-07
2016-01-01 06:00:00,3.911572164694243e-06,7.815387309049364e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257323062966709e-05,5.449532354798713e-07,3.3558210857360744e-06,0.0,9.280278643362381e-05,0.0,0.0,2.5619535143662632e-08,0.0,0.0,3.5446108689054533e-07
2016-01-01 07:00:00,4.003569825936398e-06,7.999200191404905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0576363650135774e-05,5.367206579761851e-07,3.1588647894485264e-06,0.0,8.999579975247306e-05,0.0,0.0,3.862963273515118e-07,0.0,0.0,3.83861966536524e-07
2016-01-01 08:00:00,4.248593611674518e-06,8.488761857365535e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266805452636944e-05,5.421574146707105e-07,3.0028959346577697e-06,0.0,9.052042728803307e-05,0.0,0.0,8.976039004546397e-06,0.0,0.0,1.0099579933321102e-06
2016-01-01 09:00:00,4.265369043442881e-06,8.52227945362252e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919042459678586e-05,5.468590376958863e-07,3.1271104357114166e-06,0.0,9.154087257364815e-05,0.0,0.0,2.7941160163295264e-05,0.0,0.0,1.0937230829982386e-06
2016-01-01 10:00:00,4.225665156561377e-06,8.442950416450611e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2505719750275526e-05,5.563764191218689e-07,3.1627759701771145e-06,0.0,9.280022844058235e-05,0.0,0.0,6.204902186443667e-05,0.0,0.0,1.4337113800995777e-06
2016-01-01 11:00:00,4.0463862334115795e-06,8.084748097339243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.362950455746129e-05,5.477790615725211e-07,3.2115157125360206e-06,0.0,9.274175088364824e-05,0.0,0.0,7.488925579418121e-05,0.0,0.0,1.2749992021138077e-06
2016-01-01 12:00:00,4.114942262240051e-06,8.221724201858267e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.615836007494317e-05,5.63992679768169e-07,3.2733538560475556e-06,0.0,9.559924544471249e-05,0.0,0.0,6.476009607052554e-05,0.0,0.0,1.1139747447881736e-06
2016-01-01 13:00:00,4.142093529580126e-06,8.275972892988015e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.270624276542132e-05,5.469623002527488e-07,3.385398413947716e-06,0.0,9.316944283430211e-05,0.0,0.0,4.1834328246456965e-05,0.0,0.0,9.359359950937218e-07
2016-01-01 14:00:00,4.285875068292846e-06,8.563250837921142e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.028744211650713e-05,5.555506620111982e-07,3.6109645535341905e-06,0.0,9.297620319742404e-05,0.0,0.0,2.622906216136078e-05,0.0,0.0,1.0620843605565586e-06
2016-01-01 15:00:00,4.908836448128329e-06,9.807938205813453e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.789680840510185e-05,5.503517645665301e-07,3.5571634136527204e-06,0.0,9.269658648871195e-05,0.0,0.0,6.189291930881933e-06,0.0,0.0,1.4762079245518918e-06
2016-01-01 16:00:00,5.4875275600574055e-06,1.0964172830052758e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229922000751161,5.144583665977931e-07,4.057946999954354e-06,0.0,8.752251345607885e-05,0.0,0.0,1.1583702677592766e-07,0.0,0.0,1.8583063301682956e-06
2016-01-01 17:00:00,5.315487598737729e-06,1.0620434079050512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019342399226097209,4.918951910957246e-07,3.8024256919545667e-06,0.0,8.346849041233922e-05,0.0,0.0,3.6811202421937633e-08,0.0,0.0,1.438285842338553e-06
2016-01-01 18:00:00,5.0681704761354915e-06,1.0126290287267186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001753141037489268,4.7107455932074106e-07,3.1471565891814083e-06,0.0,7.962477333931954e-05,0.0,0.0,2.4956945878615794e-08,0.0,0.0,1.5602116735742598e-06
2016-01-01 19:00:00,5.034838879531019e-06,1.00596931937905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.660189004882999e-05,4.79470878388802e-07,2.6788404340049602e-06,0.0,8.159732228510772e-05,0.0,0.0,1.60322696936501e-08,0.0,0.0,1.6492517434037882e-06
2016-01-01 20:00:00,3.971639516318615e-06,7.935402893015975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5851232468317367e-05,4.799981444898628e-07,2.7849494763994693e-06,0.0,8.171415783233883e-05,0.0,0.0,1.1190076162576591e-08,0.0,0.0,1.5077393559253031e-06
2016-01-01 21:00:00,3.856658114804461e-06,7.705668109063533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966409563905889e-05,4.979090539601711e-07,3.0082709339612206e-06,0.0,8.44889680749161e-05,0.0,0.0,9.278108822568929e-09,0.0,0.0,1.5536044265105226e-06
2016-01-01 22:00:00,3.943489464533562e-06,7.879158613680997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84610238395465e-05,5.065031641346893e-07,3.0984568827037155e-06,0.0,8.545121407992403e-05,0.0,0.0,8.077106980749584e-09,0.0,0.0,2.108056557407804e-06
2016-01-01 23:00:00,3.6637350936589136e-06,7.320204651507141e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.648082127976387e-05,5.249937130531257e-07,2.9402331567759104e-06,0.0,8.820844843656401e-05,0.0,0.0,1.6524178186836717e-09,0.0,0.0,1.7974603287332402e-06
2016-01-02 00:00:00,2.669035690230797e-06,8.17099701245843e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.322057665973077e-05,5.217534822980269e-07,2.909284108803747e-06,0.0,8.550692200434152e-05,0.0,0.0,1.039641066152575e-08,0.0,0.0,2.375844041127078e-06
2016-01-02 01:00:00,2.7382733597333625e-06,8.382961503126641e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.598558432465384e-05,5.303139100470782e-07,3.2736682678271013e-06,0.0,8.752607147946323e-05,0.0,0.0,8.655280962066527e-09,0.0,0.0,2.9582148113061113e-06
2016-01-02 02:00:00,2.7457235056358607e-06,8.4057694109169e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1406634703641854e-05,5.449853548641227e-07,3.1421910944835807e-06,0.0,8.903071023269847e-05,0.0,0.0,7.0747900287523065e-09,0.0,0.0,2.9629616499688142e-06
2016-01-02 03:00:00,2.5924762508589822e-06,7.936617624924464e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.903441138074906e-05,5.541799766861809e-07,3.148798228685666e-06,0.0,9.052735113194964e-05,0.0,0.0,6.972920953753043e-09,0.0,0.0,3.4619789594952945e-06
2016-01-02 04:00:00,2.7537095081529417e-06,8.43021779238568e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103417412804064e-05,5.470971739991459e-07,2.804894814095294e-06,0.0,9.058397398742425e-05,0.0,0.0,1.6507250132588033e-08,0.0,0.0,3.2011007682700345e-06
2016-01-02 05:00:00,2.7574921480311413e-06,8.441797981911473e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7952970539614826e-05,5.407146183855925e-07,3.0928040047092177e-06,0.0,9.237548018877615e-05,0.0,0.0,3.6212119574704524e-08,0.0,0.0,2.069269833566335e-06
2016-01-02 06:00:00,2.8444219235596248e-06,8.707925159879444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7448906779323005e-05,5.243195889483843e-07,3.1013853040774803e-06,0.0,9.070220483834602e-05,0.0,0.0,4.103513608733802e-08,0.0,0.0,2.017577874468943e-06
2016-01-02 07:00:00,3.069343239878056e-06,9.39650021730672e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.921503532173144e-05,5.116355982325391e-07,3.1142579546107736e-06,0.0,8.744174920126862e-05,0.0,0.0,2.2895883321476032e-07,0.0,0.0,2.005016665155364e-06
2016-01-02 08:00:00,3.2996511853855823e-06,1.0101565923837124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.525015414967901e-05,5.03370323849818e-07,2.918422891738404e-06,0.0,8.682054072466773e-05,0.0,0.0,3.6080354335584676e-06,0.0,0.0,2.0817975854531585e-06
2016-01-02 09:00:00,3.574672644727375e-06,1.0943517768418652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.076366261512995e-05,4.911443874254802e-07,2.9963432615848446e-06,0.0,8.52445475118186e-05,0.0,0.0,9.362775715496726e-06,0.0,0.0,1.5983757383124593e-06
2016-01-02 10:00:00,3.5559230968053937e-06,1.0886117824080623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071084866042423e-05,5.0592028773259e-07,3.07584075935892e-06,0.0,8.674753293097862e-05,0.0,0.0,1.2516882706510911e-05,0.0,0.0,1.3596855046111553e-06
2016-01-02 11:00:00,3.157791801247079e-06,9.667277012591924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001109000938119321,5.183936005123494e-07,3.11531430484769e-06,0.0,8.88273397909485e-05,0.0,0.0,1.2725033492165502e-05,0.0,0.0,1.5214825735814197e-06
2016-01-02 12:00:00,3.1755352157940865e-06,9.721596776012503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.340811462722135e-05,5.212563601772034e-07,3.2546092474133926e-06,0.0,8.873789404310916e-05,0.0,0.0,1.3210112107941127e-05,0.0,0.0,1.3629037514242488e-06
2016-01-02 13:00:00,3.241575515134873e-06,9.923772824309842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.557439408398684e-05,5.216946863093312e-07,3.4381279493207818e-06,0.0,8.907224637954756e-05,0.0,0.0,1.062060013966077e-05,0.0,0.0,2.0279571396118673e-06
2016-01-02 14:00:00,3.352129264665819e-06,1.0262222534982437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.784719435984397e-05,5.306325667392032e-07,3.9799824127054295e-06,0.0,8.99820076815305e-05,0.0,0.0,7.047460919939061e-06,0.0,0.0,2.6047348107835598e-06
2016-01-02 15:00:00,3.4982310791916183e-06,1.0709499240338831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013066823942829218,5.134272015192539e-07,4.026531896081544e-06,0.0,8.709330636293811e-05,0.0,0.0,1.8415035784000023e-06,0.0,0.0,2.5672543801547445e-06
2016-01-02 16:00:00,3.911786488671254e-06,1.1975559498623323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023247660504891412,4.925581940891091e-07,4.355301298906468e-06,0.0,8.162107633687678e-05,0.0,0.0,7.842650420410784e-08,0.0,0.0,2.080766927274197e-06
2016-01-02 17:00:00,3.920581031544844e-06,1.2002483148917346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002352443458981457,4.888948705097164e-07,4.091245891358924e-06,0.0,7.928463793583896e-05,0.0,0.0,1.9724672551190776e-08,0.0,0.0,2.057172592653019e-06
2016-01-02 18:00:00,3.8356884017108065e-06,1.17425924972889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011781780113830712,4.908636975326166e-07,2.772962701528245e-06,0.0,7.841647813765859e-05,0.0,0.0,3.086548377646519e-08,0.0,0.0,2.1257796812533526e-06
2016-01-02 19:00:00,3.282134775606593e-06,1.0047941113761712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799799065148925e-05,4.983370070806242e-07,2.8142515588744892e-06,0.0,7.891499695212475e-05,0.0,0.0,1.7508053666856814e-08,0.0,0.0,2.0787272990007066e-06
2016-01-02 20:00:00,2.9433065302096297e-06,9.010650907786341e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.059194564139136e-05,4.996735943424837e-07,2.861020943552594e-06,0.0,7.844194778602854e-05,0.0,0.0,1.5605323617677714e-08,0.0,0.0,2.271723083146544e-06
2016-01-02 21:00:00,2.9870798323608566e-06,9.144658677863103e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013387241136186e-05,5.248981543469496e-07,3.016127353666888e-06,0.0,8.215588815068757e-05,0.0,0.0,1.3623262887035195e-08,0.0,0.0,1.8271252158569616e-06
