,Residual_Hydro_Water_Reservoir_DE,Residual_Hydro_Run-of-river_and_poundage_DE,Residual_Other_DE,Biomass_DE,Fossil_Brown_coal/Lignite_DE,Fossil_Coal-derived_gas_DE,Fossil_Gas_DE,Fossil_Hard_coal_DE,Fossil_Oil_DE,Fossil_Oil_shale_DE,Fossil_Peat_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Hydro_Run-of-river_and_poundage_DE,Hydro_Water_Reservoir_DE,Marine_DE,Nuclear_DE,Other_fossil_DE,Other_renewable_DE,Solar_DE,Waste_DE,Wind_Offshore_DE,Wind_Onshore_DE
2017-01-01 00:00:00,0.0,0.0,0.0,3.124406043157468e-05,0.00011757082969760428,2.144544608938696e-05,6.47703075560222e-06,6.183744984370799e-05,2.7499222865709373e-06,0.0,0.0,5.506746433721221e-08,2.1378323213873595e-06,1.8467864692948273e-07,3.3052677472500374e-09,0.0,1.935519453747587e-06,3.276282055598348e-05,1.1280724747975382e-06,0.0,0.0,2.348282184363848e-06,1.1106560995897514e-05
2017-01-01 01:00:00,0.0,0.0,0.0,3.136336691231024e-05,0.00012209482984011795,2.2126463035977065e-05,6.392706081483589e-06,5.835669877985969e-05,2.765682337480628e-06,0.0,0.0,5.5415116989513055e-08,2.2068127097158437e-06,1.8504627676926293e-07,3.5515876426231907e-09,0.0,1.9420956593012435e-06,3.0495906066734077e-05,1.1157735419735268e-06,0.0,0.0,2.3527172400249627e-06,1.0889247293333616e-05
2017-01-01 02:00:00,0.0,0.0,0.0,3.140895866118607e-05,0.0001246102426159998,2.1672266803696956e-05,6.297677876203256e-06,5.996515967898513e-05,2.7695270475130054e-06,0.0,0.0,5.524409021306031e-08,1.4386673027711782e-06,1.8321872559721763e-07,3.744396337879209e-09,0.0,1.9607426885972145e-06,3.167643144143315e-05,1.1134379193905148e-06,0.0,0.0,2.362568915340108e-06,1.0685715616283003e-05
2017-01-01 03:00:00,0.0,0.0,0.0,3.169383303470141e-05,0.0001215897265002887,2.268118313636166e-05,6.379570167131275e-06,6.011070758684202e-05,2.7835973154687777e-06,0.0,0.0,5.4789633633127953e-08,9.942786638136983e-07,1.8419778914177317e-07,7.30339853602683e-09,0.0,1.981939897772347e-06,3.1915784479963386e-05,1.1218090225923895e-06,0.0,0.0,2.3805715082973383e-06,1.0882534463932699e-05
2017-01-01 04:00:00,0.0,0.0,0.0,3.165578877001669e-05,0.00012077235650788951,2.364682471258869e-05,6.428595030448857e-06,5.8973950486063194e-05,2.77965693337909e-06,0.0,0.0,5.357614461890097e-08,4.995027000410909e-07,1.835679416788779e-07,4.394545382110014e-09,0.0,1.979303621642592e-06,3.221481326157098e-05,1.1198196176753188e-06,0.0,0.0,2.369624462822705e-06,1.1168119665586978e-05
2017-01-01 05:00:00,0.0,0.0,0.0,3.1702623171295595e-05,0.00012121130754056038,2.285470122470337e-05,6.356627436195042e-06,5.330546141328059e-05,2.7789121496792896e-06,0.0,0.0,5.2715659859150357e-08,1.2826091084350198e-06,1.8454145713872798e-07,4.742958166122591e-09,0.0,1.980109133122809e-06,3.1775591943425795e-05,1.1206680619540759e-06,0.0,0.0,2.2975918484448726e-06,1.1576114421801123e-05
2017-01-01 06:00:00,0.0,0.0,0.0,3.197164832403534e-05,0.000119850821781264,2.1121128966134033e-05,6.477330980261904e-06,5.433255124869203e-05,2.790970010711097e-06,0.0,0.0,5.235175004115415e-08,9.081961511358708e-07,1.8301651384966956e-07,4.7310280606716185e-09,0.0,1.990133020613037e-06,3.145564600523794e-05,1.1261248353098733e-06,3.682628441486448e-09,0.0,2.092073093170836e-06,1.190377622890288e-05
2017-01-01 07:00:00,0.0,0.0,0.0,3.195631280584756e-05,0.00011752825503199172,2.0256386037048665e-05,6.591177064860258e-06,5.3766514220700105e-05,2.7839188428936482e-06,0.0,0.0,5.1479002563631117e-08,1.479545424912673e-06,1.805046523275882e-07,3.7021672163834603e-09,0.0,1.9810248584671225e-06,3.263658677654943e-05,1.142072550758322e-06,1.3384422494496494e-06,0.0,1.927520428094333e-06,1.2082259446198085e-05
2017-01-01 08:00:00,0.0,0.0,0.0,3.0981067599244704e-05,0.00011261431658400393,2.043376472491729e-05,6.3288600563342905e-06,5.2887441806629276e-05,2.6902240176989172e-06,0.0,0.0,5.045197209334723e-08,1.4984235173549163e-06,1.7281416182928597e-07,5.93393356189262e-09,0.0,1.9147388861590223e-06,3.321497096419784e-05,1.1041949370861472e-06,9.841141317790174e-06,0.0,1.8167108359381075e-06,1.1602896806292973e-05
2017-01-01 09:00:00,0.0,0.0,0.0,3.0150361789640172e-05,0.00010914367106706072,2.01246105497405e-05,6.065752605249617e-06,5.495431224828914e-05,2.612183304679587e-06,0.0,0.0,4.833266786130806e-08,9.049005343055788e-07,1.67561072172448e-07,5.869987590946318e-09,0.0,1.8553829364546854e-06,3.297590582580631e-05,1.071102439539286e-06,2.1447321369823266e-05,0.0,1.5654872592727255e-06,1.0355632643552901e-05
2017-01-01 10:00:00,0.0,0.0,0.0,2.9329455614946433e-05,0.00010610121535328626,2.0386984000820456e-05,6.000032026460799e-06,5.8912091244240775e-05,2.543973179672008e-06,0.0,0.0,4.641514899976123e-08,5.155678417262196e-07,1.6184343727015745e-07,5.8998359918184316e-09,0.0,1.801905606776241e-06,3.384843868691029e-05,1.0425620652950702e-06,3.0466095635334483e-05,0.0,1.4351618205086732e-06,9.13216053026481e-06
2017-01-01 11:00:00,0.0,0.0,0.0,2.902948280707486e-05,0.00010609557658695573,2.021322571778236e-05,5.949800559382409e-06,5.8755698218340034e-05,2.5139279215494687e-06,0.0,0.0,4.5271866039598645e-08,1.7366600550968134e-06,1.5847637061740754e-07,7.021822407556588e-09,0.0,1.7869346684602167e-06,3.267066713837241e-05,1.032665401883236e-06,3.501304023411647e-05,0.0,1.2774844133113784e-06,8.40374363130535e-06
2017-01-01 12:00:00,0.0,0.0,0.0,2.992533956610229e-05,0.00011174871371407111,2.1179545886481365e-05,6.051719551605039e-06,5.941062564387473e-05,2.5928500012337074e-06,0.0,0.0,4.625054877781221e-08,2.22955518380957e-06,1.632748453738773e-07,7.610017994522447e-09,0.0,1.8423303750548379e-06,3.1793022515643916e-05,1.0642295223749663e-06,3.2241183170076564e-05,0.0,9.631190232914806e-07,8.226152758062736e-06
2017-01-01 13:00:00,0.0,0.0,0.0,3.13060028092275e-05,0.00011457826748061514,2.2618267913790124e-05,6.30194263205026e-06,6.933737229596373e-05,2.7154438466779926e-06,0.0,0.0,4.8362021048468526e-08,9.931704217492893e-06,1.7096378807537401e-07,8.460414244173596e-09,0.0,1.9272725396679064e-06,3.2608355593103984e-05,1.1126027726287126e-06,2.2055482488149695e-05,0.0,5.519631553034014e-07,8.115210897103254e-06
2017-01-01 14:00:00,0.0,0.0,0.0,3.2804262805795754e-05,0.0001154190944241591,2.2685285597864206e-05,6.782855874745344e-06,8.822757812203774e-05,2.8366272754179477e-06,0.0,0.0,5.108380358161666e-08,1.608768980627094e-05,1.7921535723947618e-07,1.027062932546114e-08,0.0,2.0161949650141744e-06,3.591609172583855e-05,1.1632720463145255e-06,8.266291145972643e-06,0.0,3.340970210277896e-07,8.078909699457332e-06
2017-01-01 15:00:00,0.0,0.0,0.0,3.3659219128433034e-05,0.00011695283138484596,2.1719922338762362e-05,7.170174780890587e-06,0.00010117731211542342,2.9026621374936147e-06,0.0,0.0,5.325034290990332e-08,1.3469503624932716e-05,1.833059974263045e-07,1.0603135703136642e-08,0.0,2.063055538891711e-06,3.775347365539275e-05,1.197864754639024e-06,6.02323994433865e-07,0.0,3.9711495791643064e-07,8.306060114387953e-06
2017-01-01 16:00:00,0.0,0.0,0.0,3.127000610123211e-05,0.00010463651782961857,2.167172004214176e-05,6.852366836414233e-06,0.00010168324050277009,2.70741244722724e-06,0.0,0.0,4.9580042407768257e-08,3.5713619607221225e-05,1.6949138569193064e-07,1.6006437870345016e-08,0.0,1.9120284780493137e-06,3.606604356040581e-05,1.1180858358698703e-06,1.1822988300420908e-09,0.0,4.159068552080994e-07,8.099670168131518e-06
2017-01-01 17:00:00,0.0,0.0,0.0,3.079984187764122e-05,0.00010298743861709094,2.1883899914232736e-05,6.759524286185408e-06,0.00010347513109557983,2.665654785693325e-06,0.0,0.0,4.935915613754956e-08,3.569148459036762e-05,1.6867916321886326e-07,1.7915165993310255e-08,0.0,1.8806031166498061e-06,3.51507654936319e-05,1.0993828097090828e-06,0.0,0.0,5.190599027644244e-07,8.07197277294953e-06
2017-01-01 18:00:00,0.0,0.0,0.0,3.112436064155791e-05,0.00010415899007568824,2.1836028043998336e-05,6.871929598312011e-06,0.00010738282118759099,2.694891144720498e-06,0.0,0.0,5.0002415837685604e-08,2.646314684735395e-05,1.703814809568025e-07,1.97863773318431e-08,0.0,1.902748416436536e-06,3.687656377786763e-05,1.1124091989002622e-06,0.0,0.0,6.489618507585166e-07,8.34837567006865e-06
2017-01-01 19:00:00,0.0,0.0,0.0,3.146067650477457e-05,0.00010669960390354641,2.0764279846207222e-05,6.970135628187415e-06,0.00011310250098605393,2.728586466375785e-06,0.0,0.0,5.0376287779439966e-08,1.2367165274001557e-05,1.7346139237638196e-07,1.9439656718582257e-08,0.0,1.9273293291413195e-06,3.6983780298705215e-05,1.1269206146351813e-06,0.0,0.0,1.1142622410046248e-06,8.645365752446312e-06
2017-01-01 20:00:00,0.0,0.0,0.0,3.1721093044938945e-05,0.00010790059324841793,1.892878521315778e-05,7.024071868954723e-06,0.00011527096205880817,2.755770590156427e-06,0.0,0.0,5.086126164119606e-08,5.45168435805884e-06,1.7582414834121897e-07,1.3485619725234923e-08,0.0,1.9432289778027342e-06,3.677169900229853e-05,1.1374646229104246e-06,0.0,0.0,1.407320692323433e-06,8.809143450993847e-06
2017-01-01 21:00:00,0.0,0.0,0.0,3.12906502061512e-05,0.00010617421201297624,2.089294094881392e-05,6.925085273117275e-06,0.00011246189474592055,2.7282118599296275e-06,0.0,0.0,5.082298600901584e-08,5.234553245394102e-06,1.7492205756004784e-07,1.4487726369190901e-08,0.0,1.916679507868612e-06,3.47754383506517e-05,1.1234493969452548e-06,0.0,0.0,1.7171861560059777e-06,8.945922099243307e-06
2017-01-01 22:00:00,0.0,0.0,0.0,3.1743085505813256e-05,0.00010773162223485358,2.0420289770941496e-05,6.926530051954339e-06,0.0001050564207365286,2.759011881651321e-06,0.0,0.0,5.232391506167963e-08,6.667985400058533e-06,1.8060788924299048e-07,1.1248192210624191e-08,0.0,1.9435280358721096e-06,3.388318691110592e-05,1.1392233615419617e-06,0.0,0.0,1.930792273630781e-06,8.732593888190858e-06
2017-01-01 23:00:00,0.0,0.0,0.0,3.3043726472019696e-05,0.0001161778771010217,2.08088394112047e-05,7.041978414982642e-06,8.319888952315355e-05,2.881580346429503e-06,0.0,0.0,5.49803114380618e-08,3.112792987282949e-06,1.9055081478122406e-07,1.0163769253025442e-08,0.0,2.023168132764744e-06,3.345609903306802e-05,1.1884962739745113e-06,0.0,0.0,2.197309899283281e-06,9.061335917143755e-06
