,Residual_Hydro_Water_Reservoir_FR,Residual_Hydro_Run-of-river_and_poundage_FR,Residual_Other_FR,Biomass_FR,Fossil_Brown_coal/Lignite_FR,Fossil_Coal-derived_gas_FR,Fossil_Gas_FR,Fossil_Hard_coal_FR,Fossil_Oil_FR,Fossil_Oil_shale_FR,Fossil_Peat_FR,Geothermal_FR,Hydro_Pumped_Storage_FR,Hydro_Run-of-river_and_poundage_FR,Hydro_Water_Reservoir_FR,Marine_FR,Nuclear_FR,Other_fossil_FR,Other_renewable_FR,Solar_FR,Waste_FR,Wind_Offshore_FR,Wind_Onshore_FR
2017-01-01 00:00:00,0.0,0.0,0.0,2.580081229464055e-05,0.0,0.0,0.00039715399559416806,0.0005815927812284137,2.2486652097854164e-05,0.0,0.0,0.0,3.300982351085446e-05,7.70702248522921e-05,5.943535352403716e-05,0.0,0.0022095522688878617,0.0,0.0,0.0,0.0,0.0,0.0001010744610326788
2017-01-01 01:00:00,0.0,0.0,0.0,2.6006029728633327e-05,0.0,0.0,0.00038040149757338976,0.0005935535066897114,2.2665508987703656e-05,0.0,0.0,0.0,5.070425634151435e-05,7.304466891284958e-05,5.921625860543028e-05,0.0,0.0022205236284802265,0.0,0.0,0.0,0.0,0.0,0.0001009127265471098
2017-01-01 02:00:00,0.0,0.0,0.0,2.6994492931808025e-05,0.0,0.0,0.00035249882686726316,0.0005885878819163037,2.3527002335567636e-05,0.0,0.0,0.0,7.072591817239328e-05,7.5715202400537e-05,5.957858117977452e-05,0.0,0.0022984163508004054,0.0,0.0,0.0,0.0,0.0,0.00010174118968582876
2017-01-01 03:00:00,0.0,0.0,0.0,2.7340499120151618e-05,0.0,0.0,0.000343753602652405,0.0006038433630990719,2.3828563414038144e-05,0.0,0.0,0.0,8.995883470050431e-05,7.314882760865617e-05,4.649585029084959e-05,0.0,0.002332446127205759,0.0,0.0,0.0,0.0,0.0,0.0001077829872216815
2017-01-01 04:00:00,0.0,0.0,0.0,2.736186770149879e-05,0.0,0.0,0.00034598448492988837,0.0006233114695170653,2.384718716313144e-05,0.0,0.0,0.0,0.00010836984331055673,6.765521420010905e-05,4.2515216624439024e-05,0.0,0.002336335761656605,0.0,0.0,0.0,0.0,0.0,0.00011226997141392489
2017-01-01 05:00:00,0.0,0.0,0.0,2.7437105985620892e-05,0.0,0.0,0.0003434057326528191,0.0005982386162535006,2.3809688710432222e-05,0.0,0.0,0.0,0.00012705896483300637,6.733035582169315e-05,3.857706992321546e-05,0.0,0.0023389681557762295,0.0,0.0,0.0,0.0,0.0,0.00011597472450518939
2017-01-01 06:00:00,0.0,0.0,0.0,2.7322829929303693e-05,0.0,0.0,0.0003448569331487704,0.0005904118940637122,2.3813163862159292e-05,0.0,0.0,0.0,0.00014484428655736457,6.919209372273369e-05,3.8227948078700886e-05,0.0,0.0023287872226574226,0.0,0.0,0.0,0.0,0.0,0.00012665193854927357
2017-01-01 07:00:00,0.0,0.0,0.0,2.7114731748008393e-05,0.0,0.0,0.0003433742261846707,0.0005870916912836253,2.3631796262118434e-05,0.0,0.0,0.0,0.00020383937264682985,7.201332891933352e-05,3.612010200004516e-05,0.0,0.0023103969245881458,0.0,0.0,1.7304125513348107e-05,0.0,0.0,0.00013441327821996486
2017-01-01 08:00:00,0.0,0.0,0.0,2.6581273836976205e-05,0.0,0.0,0.0003437073233293534,0.000606496537641547,2.31479416632169e-05,0.0,0.0,0.0,0.0001675140425857033,7.113179834089512e-05,4.538959048186752e-05,0.0,0.002274818122769223,0.0,0.0,7.273550856108554e-05,0.0,0.0,0.00013734872552252005
2017-01-01 09:00:00,0.0,0.0,0.0,2.6038141096014135e-05,0.0,0.0,0.0003362985930486803,0.0006014736605701915,2.2773121893196542e-05,0.0,0.0,0.0,0.0001348396839115205,7.13428649318678e-05,5.308682773282675e-05,0.0,0.002229554711112645,0.0,0.0,0.00016928027685461446,0.0,0.0,0.00014020212353285812
