,Residual_Hydro_Water_Reservoir_CH,Residual_Hydro_Run-of-river_and_poundage_CH,Residual_Other_CH,Biomass_CH,Fossil_Brown_coal/Lignite_CH,Fossil_Coal-derived_gas_CH,Fossil_Gas_CH,Fossil_Hard_coal_CH,Fossil_Oil_CH,Fossil_Oil_shale_CH,Fossil_Peat_CH,Geothermal_CH,Hydro_Pumped_Storage_CH,Hydro_Run-of-river_and_poundage_CH,Hydro_Water_Reservoir_CH,Marine_CH,Nuclear_CH,Other_fossil_CH,Other_renewable_CH,Solar_CH,Waste_CH,Wind_Offshore_CH,Wind_Onshore_CH
2023-01-01 00:00:00,0.08725615,0.1945912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038536858,0.042540714,0.027368115,0.0,0.5640873,0.0,0.0,2.6716896e-05,0.03622593,0.0,0.009367035
2023-01-01 01:00:00,0.08507009,0.18971603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036684107,0.043019153,0.023737337,0.0,0.57414204,0.0,0.0,2.2480852e-05,0.037196692,0.0,0.010412049
2023-01-01 02:00:00,0.086736426,0.19343215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016351402,0.04313607,0.022713007,0.0,0.59044003,0.0,0.0,1.9361773e-05,0.037830677,0.0,0.009340905
2023-01-01 03:00:00,0.087966576,0.19617552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012690968,0.04289677,0.020563977,0.0,0.59261286,0.0,0.0,2.3744415e-05,0.038461942,0.0,0.00860762
2023-01-01 04:00:00,0.08485569,0.18923791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014142625,0.042124674,0.02280573,0.0,0.5999146,0.0,0.0,2.5551291e-05,0.03768812,0.0,0.009205149
2023-01-01 05:00:00,0.08269488,0.18441904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252874,0.042299163,0.02090178,0.0,0.5912797,0.0,0.0,3.727983e-05,0.036538444,0.0,0.009300939
2023-01-01 06:00:00,0.083045825,0.18520167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022173148,0.04286544,0.021013444,0.0,0.5958302,0.0,0.0,0.004277208,0.035966087,0.0,0.009626963
2023-01-01 07:00:00,0.0775846,0.17302254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022316635,0.04164158,0.020337665,0.0,0.58238184,0.0,0.0,0.039034046,0.03473447,0.0,0.008946563
2023-01-01 08:00:00,0.062448304,0.13926686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022061424,0.041182093,0.02490837,0.0,0.5755346,0.0,0.0,0.0914349,0.035241358,0.0,0.007922065
2023-01-01 09:00:00,0.054144114,0.12074756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017129814,0.040083356,0.020014776,0.0,0.55767906,0.0,0.0,0.15059191,0.033457857,0.0,0.006151626
2023-01-01 10:00:00,0.051285904,0.11437344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015732702,0.039210845,0.017856741,0.0,0.54176587,0.0,0.0,0.17964073,0.034315247,0.0,0.0058185775
2023-01-01 11:00:00,0.057164516,0.1274834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014984754,0.038169008,0.023851024,0.0,0.5259228,0.0,0.0,0.17249231,0.033497084,0.0,0.0064351293
2023-01-01 12:00:00,0.067236096,0.14994419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016796637,0.038766924,0.023375317,0.0,0.53083044,0.0,0.0,0.13176738,0.033882942,0.0,0.007400074
2023-01-01 13:00:00,0.08021627,0.17889147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02722517,0.0386842,0.034350507,0.0,0.53066033,0.0,0.0,0.06832516,0.03438268,0.0,0.007264303
2023-01-01 14:00:00,0.103765786,0.23140955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019526033,0.03751732,0.03586838,0.0,0.5177816,0.0,0.0,0.01300855,0.033919245,0.0,0.007203539
2023-01-01 15:00:00,0.08961751,0.1998573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12598322,0.0367021,0.03878698,0.0,0.47184807,0.0,0.0,0.00014729703,0.030423475,0.0,0.006633987
2023-01-01 16:00:00,0.08670008,0.19335109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19959074,0.033100877,0.031382654,0.0,0.4229204,0.0,0.0,9.6108146e-05,0.026166514,0.0,0.0066914777
2023-01-01 17:00:00,0.08667872,0.19330347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22968234,0.030094812,0.04093611,0.0,0.38888526,0.0,0.0,7.3642805e-05,0.024075404,0.0,0.0062701865
